date,dzongkhag,commodity,price_nu_per_kg,quantity_kg,market
2026-01-01,Thimphu,Potato,38.57,356.6,Municipal Vegetable Market
2026-01-01,Thimphu,Broccoli,49.41,355.1,Municipal Vegetable Market
2026-01-01,Thimphu,Cabbage,15.94,192.3,Municipal Vegetable Market
2026-01-01,Thimphu,Spinach,38.15,201.7,Weekend Roadside Market
2026-01-01,Thimphu,Cauliflower,37.08,53.4,Weekend Roadside Market
2026-01-01,Thimphu,Tomato,42.08,153.4,Weekend Roadside Market
2026-01-01,Thimphu,Radish,25.15,348.1,Centenary Farmers Market
2026-01-01,Zhemgang,Spinach,35.8,424.6,Centenary Farmers Market
2026-01-01,Zhemgang,Cauliflower,34.73,472.6,Weekend Roadside Market
2026-01-01,Zhemgang,Tomato,84.25,147.1,Centenary Farmers Market
2026-01-01,Zhemgang,Onion,54.18,193.8,Centenary Farmers Market
2026-01-01,Zhemgang,Radish,17.05,400.2,Municipal Vegetable Market
2026-01-01,Chukha,Radish,23.79,160.9,Centenary Farmers Market
2026-01-01,Chukha,Tomato,49.5,105.8,Centenary Farmers Market
2026-01-01,Chukha,Potato,33.31,386.0,Weekend Roadside Market
2026-01-01,Chukha,Onion,57.77,73.7,Municipal Vegetable Market
2026-01-01,Chukha,Cauliflower,35.34,474.5,Centenary Farmers Market
2026-01-01,Chukha,Spinach,29.58,336.7,Weekend Roadside Market
2026-01-01,Chukha,Chilli (dried),355.54,382.5,Weekend Roadside Market
2026-01-01,Wangdue Phodrang,Onion,52.98,125.7,Centenary Farmers Market
2026-01-01,Wangdue Phodrang,Spinach,19.73,266.8,Municipal Vegetable Market
2026-01-01,Wangdue Phodrang,Radish,27.74,246.9,Municipal Vegetable Market
2026-01-01,Wangdue Phodrang,Potato,32.85,244.2,Weekend Roadside Market
2026-01-01,Wangdue Phodrang,Cabbage,17.0,404.3,Centenary Farmers Market
2026-01-01,Wangdue Phodrang,Broccoli,57.76,139.9,Centenary Farmers Market
2026-01-01,Wangdue Phodrang,Cauliflower,36.24,421.3,Centenary Farmers Market
2026-01-01,Wangdue Phodrang,Tomato,56.41,,Centenary Farmers Market
2026-01-01,Wangdue Phodrang,Chilli (fresh),145.59,156.9,Weekend Roadside Market
2026-01-01,Trashigang,Spinach,21.97,261.4,Weekend Roadside Market
2026-01-01,Trashigang,Chilli (dried),211.89,344.1,Centenary Farmers Market
2026-01-01,Trashigang,Chilli (fresh),91.63,59.4,Weekend Roadside Market
2026-01-01,Trashigang,Radish,18.8,134.6,Municipal Vegetable Market
2026-01-01,Trashigang,Cabbage,32.72,24.5,Weekend Roadside Market
2026-01-01,Trashigang,Potato,27.2,468.0,Centenary Farmers Market
2026-01-01,Trashigang,Tomato,85.79,313.6,Weekend Roadside Market
2026-01-01,Trashigang,Cauliflower,51.06,441.5,Municipal Vegetable Market
2026-01-01,Trashigang,Onion,49.69,364.5,Centenary Farmers Market
2026-01-01,Punakha,Potato,27.11,325.8,Municipal Vegetable Market
2026-01-01,Punakha,Cabbage,20.69,473.6,Weekend Roadside Market
2026-01-01,Punakha,Cauliflower,42.46,81.2,Municipal Vegetable Market
2026-01-01,Punakha,Spinach,20.1,347.4,Weekend Roadside Market
2026-01-01,Punakha,Chilli (dried),245.47,94.2,Centenary Farmers Market
2026-01-01,Punakha,Broccoli,68.81,373.6,Municipal Vegetable Market
2026-01-01,Paro,Chilli (fresh),85.18,240.9,Municipal Vegetable Market
2026-01-01,Paro,Tomato,69.13,153.7,Centenary Farmers Market
2026-01-01,Paro,Chilli (dried),270.01,277.4,Centenary Farmers Market
2026-01-01,Paro,Cauliflower,54.73,72.0,Municipal Vegetable Market
2026-01-01,Paro,  ONION  ,61.51,451.8,Centenary Farmers Market
2026-01-01,Paro,Potato,44.01,365.3,Weekend Roadside Market
2026-01-01,Paro,Broccoli,93.43,319.1,Weekend Roadside Market
2026-01-01,Paro,Radish,18.5,213.2,Municipal Vegetable Market
2026-01-01,Paro,  CABBAGE  ,22.23,103.5,Weekend Roadside Market
2026-01-01,Tsirang,Chilli (fresh),114.43,401.0,Weekend Roadside Market
2026-01-01,Tsirang,Cauliflower,46.57,412.8,Centenary Farmers Market
2026-01-01,Tsirang,Onion,37.61,248.1,Centenary Farmers Market
2026-01-01,Tsirang,Broccoli,71.17,,Centenary Farmers Market
2026-01-01,Tsirang,Radish,22.06,224.1,Centenary Farmers Market
2026-01-01,Tsirang,Spinach,38.19,78.3,Centenary Farmers Market
2026-01-01,Mongar,Onion,64.86,380.9,Weekend Roadside Market
2026-01-01,Mongar,Spinach,25.51,362.5,Centenary Farmers Market
2026-01-01,Mongar,Cauliflower,31.4,353.1,Weekend Roadside Market
2026-01-01,Mongar,Radish,18.29,419.8,Municipal Vegetable Market
2026-01-01,Mongar,Tomato,88.66,202.6,Centenary Farmers Market
2026-01-01,Mongar,Chilli (fresh),144.56,278.3,Weekend Roadside Market
2026-01-01,Mongar,Cabbage,17.94,33.9,Municipal Vegetable Market
2026-01-01,Mongar,Chilli (dried),335.14,490.7,Weekend Roadside Market
2026-01-02,Paro,Onion,68.79,141.1,Centenary Farmers Market
2026-01-02,Paro,Chilli (fresh),124.89,52.9,Weekend Roadside Market
2026-01-02,Paro,Spinach,42.47,134.5,Municipal Vegetable Market
2026-01-02,Paro,Chilli (dried),300.18,100.5,Weekend Roadside Market
2026-01-02,Paro,Cauliflower,32.93,297.8,Municipal Vegetable Market
2026-01-02,Paro,Radish,24.77,304.2,Weekend Roadside Market
2026-01-02,Paro,Broccoli,79.0,402.2,Weekend Roadside Market
2026-01-02,Bumthang,Cabbage,18.88,325.1,Municipal Vegetable Market
2026-01-02,Bumthang,Radish,25.65,407.9,Weekend Roadside Market
2026-01-02,Bumthang,Onion,54.69,137.8,Centenary Farmers Market
2026-01-02,Bumthang,Potato,38.23,181.5,Municipal Vegetable Market
2026-01-02,Bumthang,Chilli (fresh),117.9,442.6,Weekend Roadside Market
2026-01-02,Bumthang,Spinach,22.85,215.1,Weekend Roadside Market
2026-01-02,Samtse,Spinach,28.33,247.2,Weekend Roadside Market
2026-01-02,Samtse,Potato,31.59,167.2,Centenary Farmers Market
2026-01-02,Samtse,Cabbage,24.85,108.9,Centenary Farmers Market
2026-01-02,Samtse,Chilli (dried),294.75,490.6,Centenary Farmers Market
2026-01-02,Samtse,Broccoli,65.11,41.8,Centenary Farmers Market
2026-01-02,Samtse,Chilli (fresh),129.12,438.9,Weekend Roadside Market
2026-01-02,Samtse,Onion,63.84,433.6,Centenary Farmers Market
2026-01-02,Punakha,Potato,35.25,306.1,Weekend Roadside Market
2026-01-02,Punakha,Chilli (dried),268.13,495.2,Municipal Vegetable Market
2026-01-02,Punakha,Radish,17.57,320.2,Municipal Vegetable Market
2026-01-02,Punakha,Cauliflower,27.44,236.2,Weekend Roadside Market
2026-01-02,Punakha,Tomato,56.0,54.2,Centenary Farmers Market
2026-01-02,Punakha,Spinach,41.28,224.1,Weekend Roadside Market
2026-01-02,Punakha,Broccoli,43.99,400.5,Weekend Roadside Market
2026-01-02,Punakha,Chilli (fresh),73.91,355.9,Municipal Vegetable Market
2026-01-02,Punakha,Onion,40.36,174.7,Municipal Vegetable Market
2026-01-02,Sarpang,Broccoli,53.6,324.7,Municipal Vegetable Market
2026-01-02,Sarpang,Potato,27.69,97.2,Municipal Vegetable Market
2026-01-02,Sarpang,Tomato,80.94,238.3,Municipal Vegetable Market
2026-01-02,Sarpang,Spinach,45.68,20.6,Weekend Roadside Market
2026-01-02,Sarpang,Radish,23.08,232.2,Centenary Farmers Market
2026-01-02,Sarpang,Cabbage,22.85,78.3,Weekend Roadside Market
2026-01-02,Sarpang,Chilli (fresh),105.7,64.7,Centenary Farmers Market
2026-01-02,Sarpang,Chilli (dried),266.0,264.3,Municipal Vegetable Market
2026-01-02,Sarpang,Cauliflower,39.04,111.5,Weekend Roadside Market
2026-01-02,Sarpang,Onion,52.49,,Weekend Roadside Market
2026-01-02,Zhemgang,Broccoli,91.44,490.8,Centenary Farmers Market
2026-01-02,Zhemgang,Spinach,22.64,358.5,Municipal Vegetable Market
2026-01-02,Zhemgang,Chilli (dried),316.87,37.8,Weekend Roadside Market
2026-01-02,Zhemgang,Chilli (fresh),112.28,457.0,Centenary Farmers Market
2026-01-02,Zhemgang,Tomato,43.09,485.2,Municipal Vegetable Market
